ConductanceBubbleGraph 
t space sac/bip/ica g 
572 17.5 sac 0.00142212
573 17.5 sac 0.00128662
574 17.5 sac 0.00116404
575 17.5 sac 0.00105313
576 17.5 sac 0.000952796
577 17.5 sac 0.000862018
578 17.5 sac 0.000779888
579 17.5 sac 0.000705584
580 17.5 sac 0.000638359
581 17.5 sac 0.000577538
582 17.5 sac 0.000522513
583 17.5 sac 0.00047273
584 17.5 sac 0.00042769
585 17.5 sac 0.000386942
586 17.5 sac 0.000350076
587 17.5 sac 0.000316722
588 17.5 sac 0.000286546
589 17.5 sac 0.000259245
590 17.5 sac 0.000234545
591 17.5 sac 0.000212199
592 17.5 sac 0.000191981
593 17.5 sac 0.00017369
594 17.5 sac 0.000157142
595 17.5 sac 0.00014217
596 17.5 sac 0.000128624
597 17.5 sac 0.00011637
598 17.5 sac 0.000105282
599 17.5 sac 9.52515e-05
600 17.5 sac 8.61764e-05
601 17.5 sac 7.79658e-05
602 17.5 sac 7.05376e-05
603 17.5 sac 6.38171e-05
604 17.5 sac 5.77368e-05
605 17.5 sac 5.22359e-05
606 17.5 sac 4.72591e-05
607 17.5 sac 4.27564e-05
608 17.5 sac 3.86828e-05
609 17.5 sac 3.49972e-05
610 17.5 sac 3.16628e-05
611 17.5 sac 2.86461e-05
612 17.5 sac 2.59169e-05
613 17.5 sac 2.34476e-05
614 17.5 sac 2.12136e-05
615 17.5 sac 1.91925e-05
616 17.5 sac 1.73639e-05
617 17.5 sac 1.57095e-05
618 17.5 sac 1.42128e-05
619 17.5 sac 1.28587e-05
620 17.5 sac 1.16335e-05
621 17.5 sac 1.05251e-05
622 17.5 sac 9.52235e-06
623 17.5 sac 8.6151e-06
624 17.5 sac 7.79429e-06
625 17.5 sac 7.05168e-06
626 17.5 sac 6.37982e-06
627 17.5 sac 5.77198e-06
628 17.5 sac 5.22205e-06
629 17.5 sac 4.72452e-06
630 17.5 sac 4.27438e-06
631 17.5 sac 3.86714e-06
632 17.5 sac 3.49869e-06
633 17.5 sac 3.16535e-06
634 17.5 sac 2.86377e-06
635 17.5 sac 2.59092e-06
636 17.5 sac 2.34407e-06
637 17.5 sac 2.12074e-06
638 17.5 sac 1.91868e-06
639 17.5 sac 1.73588e-06
640 17.5 sac 1.57049e-06
641 17.5 sac 1.42086e-06
642 17.5 sac 1.28549e-06
643 17.5 sac 1.16301e-06
644 17.5 sac 1.0522e-06
645 17.5 sac 9.51954e-07
646 17.5 sac 8.61256e-07
647 17.5 sac 7.79199e-07
648 17.5 sac 7.0496e-07
649 17.5 sac 6.37794e-07
650 17.5 sac 5.77028e-07
651 17.5 sac 5.22051e-07
652 17.5 sac 4.72312e-07
653 17.5 sac 4.27312e-07
654 17.5 sac 3.866e-07
655 17.5 sac 3.49766e-07
656 17.5 sac 3.16442e-07
657 17.5 sac 2.86293e-07
658 17.5 sac 2.59016e-07
659 17.5 sac 2.34338e-07
660 17.5 sac 2.12011e-07
661 17.5 sac 1.91812e-07
662 17.5 sac 1.73537e-07
663 17.5 sac 1.57003e-07
664 17.5 sac 1.42044e-07
665 17.5 sac 1.28511e-07
666 17.5 sac 1.16267e-07
667 17.5 sac 1.05189e-07
668 17.5 sac 9.51674e-08
669 17.5 sac 8.61002e-08
670 17.5 sac 7.78969e-08
671 17.5 sac 7.04752e-08
672 17.5 sac 6.37607e-08
673 17.5 sac 5.76858e-08
674 17.5 sac 5.21897e-08
675 17.5 sac 4.72173e-08
676 17.5 sac 4.27186e-08
677 17.5 sac 3.86486e-08
678 17.5 sac 3.49663e-08
679 17.5 sac 3.16349e-08
680 17.5 sac 2.86208e-08
681 17.5 sac 2.5894e-08
682 17.5 sac 2.34269e-08
683 17.5 sac 2.11949e-08
684 17.5 sac 1.91755e-08
685 17.5 sac 1.73485e-08
686 17.5 sac 1.56956e-08
687 17.5 sac 1.42002e-08
688 17.5 sac 1.28473e-08
689 17.5 sac 1.16233e-08
690 17.5 sac 1.05158e-08
691 17.5 sac 9.51393e-09
692 17.5 sac 8.60748e-09
693 17.5 sac 7.7874e-09
694 17.5 sac 7.04545e-09
